City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
410,reconquista,-29.15,-59.65,30.44,27,0,3.88,AR,1675297216
411,guaruja,-23.9931,-46.2564,28.83,26,100,0.45,BR,1675297420
412,imbituba,-28.24,-48.6703,24.59,87,69,1.63,BR,1675297420
413,arman,59.7,150.1667,-13.32,92,99,2.82,RU,1675297421
414,byron bay,-28.65,153.6167,28.86,65,64,2.3,AU,1675297421
415,anshun,26.25,105.9333,9.52,95,96,1.27,CN,1675297422
416,karoi,-16.8099,29.6925,16.91,97,18,1.59,ZW,1675297422
417,coihaique,-45.5752,-72.0662,16.97,45,0,3.6,CL,1675297141
418,tshane,-24.0196,21.8684,23.04,66,89,2.12,BW,1675297423
419,voskresenskoye,56.8381,45.4317,-5.28,96,100,3.21,RU,1675297423
420,sept-iles,50.2001,-66.3821,-12.0,79,75,2.06,CA,1675297144
421,hvide sande,56.0045,8.1294,3.94,77,69,11.45,DK,1675297424
422,sandovo,58.4602,36.4128,-5.86,97,96,2.92,RU,1675297216
423,roald,62.5833,6.1333,1.53,93,20,5.14,NO,1675297424
424,uberaba,-19.7483,-47.9319,24.32,88,20,3.09,BR,1675297425
425,tatawin,32.9297,10.4518,7.36,63,23,1.52,TN,1675297425
426,hidalgo,20.5,-99.0,16.76,66,0,4.42,MX,1675297426
427,thunder bay,48.4001,-89.3168,-13.01,52,100,2.06,CA,1675297426
428,port-cartier,50.0334,-66.8654,-12.18,95,99,1.9,CA,1675297393
429,goedereede,51.8175,3.9806,8.89,83,97,4.47,NL,1675297427
430,kaspiysk,42.8816,47.6392,4.1,100,100,0.0,RU,1675297427
431,egvekinot,66.3167,-179.1667,-12.8,92,89,3.2,RU,1675297427
432,port hardy,50.6996,-127.4199,5.1,87,100,12.35,CA,1675297428
433,tucurui,-3.7661,-49.6725,21.48,98,99,0.22,BR,1675297429
434,sinnamary,5.3833,-52.95,24.5,87,93,3.2,GF,1675297429
435,vardo,70.3705,31.1107,-1.01,74,40,9.77,NO,1675297370
436,shumskiy,54.8318,99.1328,-17.13,97,80,0.99,RU,1675297430
437,jining,35.405,116.5814,-0.87,34,100,2.03,CN,1675297430
438,kralendijk,12.15,-68.2667,24.99,78,40,4.63,BQ,1675297430
439,verkhnevilyuysk,63.4453,120.3167,-23.21,97,100,2.51,RU,1675297431
440,douglas,41.3,-96.167,2.49,56,0,4.63,US,1675297157
441,altamira,-3.2033,-52.2064,20.83,99,100,1.0,BR,1675297431
442,viransehir,37.2353,39.7631,6.33,88,100,5.37,TR,1675297432
443,la palma,33.8464,-118.0467,21.59,28,20,3.6,US,1675297432
444,ust-kuyga,70.0167,135.6,-35.99,100,81,1.72,RU,1675297433
445,iskateley,67.6803,53.1512,-5.56,91,100,6.03,RU,1675297433
446,santa clarita,34.3917,-118.5426,19.14,18,0,2.57,US,1675297319
447,sotnikovskoye,45.0039,43.7772,2.82,74,100,2.62,RU,1675297434
448,malkangiri,18.35,81.9,15.95,54,58,0.93,IN,1675297434
449,ruteng,-8.6136,120.4721,20.1,83,99,0.29,ID,1675297434
450,qianan,44.9932,124.0581,-16.75,75,0,2.84,CN,1675297435
451,turtas,58.9417,69.1325,-9.77,97,98,2.02,RU,1675297435
452,nemuro,43.3236,145.575,-4.54,75,97,15.54,JP,1675297436
453,kaupanger,61.1845,7.2404,-10.19,98,82,0.7,NO,1675297436
454,bourail,-21.5667,165.4833,29.62,57,87,0.25,NC,1675297437
455,portland,45.5234,-122.6762,10.56,50,75,2.57,US,1675297189
456,zaltan,32.947,11.8665,11.22,64,44,1.61,LY,1675297437
457,kirakira,-10.4544,161.9205,30.16,68,35,3.55,SB,1675297438
458,barentu,15.1139,37.5928,19.0,65,69,2.09,ER,1675297439
459,papara,-3.9839,-38.7273,26.49,90,100,1.13,BR,1675297440
460,bom jesus,-9.0744,-44.3586,25.78,58,100,0.58,BR,1675297441
461,kintinku,-5.8833,35.2333,18.58,87,3,1.35,TZ,1675297441
462,ayr,55.4627,-4.6339,9.72,93,100,6.17,GB,1675297442
463,ambunti,-4.2365,142.8448,28.26,77,90,0.22,PG,1675297443
464,bahia honda,22.9036,-83.1592,23.87,76,6,4.05,CU,1675297444
465,biharamulo,-2.6319,31.3089,15.61,85,7,1.57,TZ,1675297445
466,kamuli,0.9472,33.1197,18.57,80,45,0.98,UG,1675297448
467,bocas del toro,9.3333,-82.25,25.4,77,46,3.36,PA,1675297448
468,shafter,35.5005,-119.2718,16.26,30,4,1.91,US,1675297450
469,teguise,29.0605,-13.564,16.12,63,20,7.2,ES,1675297451
470,bela,25.9333,81.9833,9.47,66,6,3.85,IN,1675297453
471,guerrero negro,27.9769,-114.0611,15.46,50,0,5.22,MX,1675297190
